,participantId,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas,damageTakenPerMinDeltas,damageTakenDiffPerMinDeltas,role,lane,championId,queueId,counter,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,creepsPerMinDeltas@20-30,creepsPerMinDeltas@30-end,xpPerMinDeltas@0-10,xpPerMinDeltas@10-20,xpPerMinDeltas@20-30,xpPerMinDeltas@30-end,goldPerMinDeltas@0-10,goldPerMinDeltas@10-20,goldPerMinDeltas@20-30,goldPerMinDeltas@30-end,damageTakenPerMinDeltas@0-10,damageTakenPerMinDeltas@10-20,damageTakenPerMinDeltas@20-30,damageTakenPerMinDeltas@30-end,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,csDiffPerMinDeltas@20-30,csDiffPerMinDeltas@30-end,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@20-30,xpDiffPerMinDeltas@30-end,damageTakenDiffPerMinDeltas@0-10,damageTakenDiffPerMinDeltas@10-20,damageTakenDiffPerMinDeltas@20-30,damageTakenDiffPerMinDeltas@30-end,gameCreation,week
1588529772548,2,"{'10-20': 6.8, '0-10': 4.7, '30-end': 7.8, '20-30': 6.199999999999999}","{'10-20': 447.4, '0-10': 283.8, '30-end': 566.6, '20-30': 614.7}","{'10-20': 350.1, '0-10': 295, '30-end': 375.4, '20-30': 481.8}","{'10-20': -0.6999999999999997, '0-10': -1.2, '30-end': 0.30000000000000027, '20-30': 1.4}","{'10-20': 5.950000000000017, '0-10': -71.74999999999997, '30-end': -266.1, '20-30': 268.29999999999995}","{'10-20': 525.8, '0-10': 401.2, '30-end': 1401.8, '20-30': 902.1}","{'10-20': -200.74999999999997, '0-10': 53.400000000000006, '30-end': -124.99999999999977, '20-30': -159.5499999999999}",DUO_CARRY,BOTTOM,Ezreal,Flex,1,4.7,6.8,6.199999999999999,7.8,283.8,447.4,614.7,566.6,295,350.1,481.8,375.4,401.2,525.8,902.1,1401.8,-1.2,-0.6999999999999997,1.4,0.30000000000000027,-71.74999999999997,5.950000000000017,268.29999999999995,-266.1,53.400000000000006,-200.74999999999997,-159.5499999999999,-124.99999999999977,1588529772548,5.0
1588523340439,7,"{'10-20': 7, '0-10': 5.9, '30-end': 6, '20-30': 5}","{'10-20': 372.3, '0-10': 277.9, '30-end': 332.8, '20-30': 566.6}","{'10-20': 388.9, '0-10': 252.6, '30-end': 338.2, '20-30': 463.5}","{'10-20': -0.24999999999999978, '0-10': -0.34999999999999987, '30-end': 0.2999999999999998, '20-30': -1.5499999999999998}","{'10-20': -13.399999999999977, '0-10': -36.04999999999998, '30-end': -198.80000000000007, '20-30': -140.25}","{'10-20': 506, '0-10': 253.10000000000002, '30-end': 810.4, '20-30': 763.8}","{'10-20': 229.10000000000005, '0-10': 34.30000000000001, '30-end': 161.89999999999998, '20-30': -142.99999999999994}",DUO_CARRY,BOTTOM,Aphelios,Flex,1,5.9,7,5,6,277.9,372.3,566.6,332.8,252.6,388.9,463.5,338.2,253.10000000000002,506,763.8,810.4,-0.34999999999999987,-0.24999999999999978,-1.5499999999999998,0.2999999999999998,-36.04999999999998,-13.399999999999977,-140.25,-198.80000000000007,34.30000000000001,229.10000000000005,-142.99999999999994,161.89999999999998,1588523340439,5.0
1588458639976,7,"{'10-20': 7.4, '0-10': 6.7, '30-end': 5.5, '20-30': 6.9}","{'10-20': 455.2, '0-10': 277.9, '30-end': 439.5, '20-30': 500.70000000000005}","{'10-20': 349, '0-10': 242.2, '30-end': 378, '20-30': 332.8}","{'10-20': 0.44999999999999996, '0-10': 0.4000000000000006, '30-end': -0.95, '20-30': 1.0500000000000003}","{'10-20': 53.55000000000001, '0-10': -13.300000000000011, '30-end': -51.10000000000002, '20-30': 124.64999999999998}","{'10-20': 360.70000000000005, '0-10': 398.7, '30-end': 795.9, '20-30': 489.8}","{'10-20': -64.15000000000002, '0-10': 46.349999999999994, '30-end': 237.79999999999995, '20-30': 124.89999999999998}",DUO_CARRY,BOTTOM,Syndra,Flex,1,6.7,7.4,6.9,5.5,277.9,455.2,500.70000000000005,439.5,242.2,349,332.8,378,398.7,360.70000000000005,489.8,795.9,0.4000000000000006,0.44999999999999996,1.0500000000000003,-0.95,-13.300000000000011,53.55000000000001,124.64999999999998,-51.10000000000002,46.349999999999994,-64.15000000000002,124.89999999999998,237.79999999999995,1588458639976,5.0
1588456229039,2,"{'10-20': 6, '0-10': 6.199999999999999}","{'10-20': 449.7, '0-10': 270.20000000000005}","{'10-20': 534.5, '0-10': 265.5}",,,"{'10-20': 371.2, '0-10': 232.7}",,DUO_CARRY,BOTTOM,Varus,Flex,1,6.199999999999999,6,,,270.20000000000005,449.7,,,265.5,534.5,,,232.7,371.2,,,,,,,,,,,,,,,1588456229039,5.0
1588454118215,7,"{'10-20': 6, '0-10': 4.5}","{'10-20': 450.6, '0-10': 252.79999999999998}","{'10-20': 425.9, '0-10': 316.2}","{'10-20': -0.050000000000000266, '0-10': -0.7999999999999998}","{'10-20': -44.849999999999994, '0-10': -40.300000000000026}","{'10-20': 429.7, '0-10': 306.2}","{'10-20': -605.7, '0-10': -185.45}",DUO_CARRY,BOTTOM,Varus,Flex,1,4.5,6,,,252.79999999999998,450.6,,,316.2,425.9,,,306.2,429.7,,,-0.7999999999999998,-0.050000000000000266,,,-40.300000000000026,-44.849999999999994,,,-185.45,-605.7,,,1588454118215,5.0
1588103382295,4,"{'10-20': 2.9, '0-10': 4.6, '30-end': 3.4, '20-30': 1.2}","{'10-20': 307.20000000000005, '0-10': 234.8, '30-end': 599.2, '20-30': 601}","{'10-20': 350.4, '0-10': 207.9, '30-end': 286, '20-30': 289.8}","{'10-20': -1.65, '0-10': -1.1000000000000003, '30-end': -3.2000000000000006, '20-30': -1.9000000000000001}","{'10-20': -25.35000000000001, '0-10': -21.200000000000003, '30-end': -47.499999999999886, '20-30': 24.40000000000009}","{'10-20': 883.9, '0-10': 221.7, '30-end': 290.8, '20-30': 1293.5}","{'10-20': 26.800000000000068, '0-10': -37, '30-end': -158, '20-30': 292.8999999999999}",DUO_CARRY,BOTTOM,Nautilus,Flex,1,4.6,2.9,1.2,3.4,234.8,307.20000000000005,601,599.2,207.9,350.4,289.8,286,221.7,883.9,1293.5,290.8,-1.1000000000000003,-1.65,-1.9000000000000001,-3.2000000000000006,-21.200000000000003,-25.35000000000001,24.40000000000009,-47.499999999999886,-37,26.800000000000068,292.8999999999999,-158,1588103382295,5.0
1588098790579,4,"{'10-20': 6.5, '0-10': 5.6}","{'10-20': 395.5, '0-10': 285.7}","{'10-20': 308.4, '0-10': 291.1}","{'10-20': -1.5500000000000003, '0-10': -1.2000000000000002}","{'10-20': -72, '0-10': -7.250000000000014}","{'10-20': 571.5, '0-10': 353}","{'10-20': 64.29999999999998, '0-10': -113}",DUO_CARRY,BOTTOM,Kog'Maw,Flex,1,5.6,6.5,,,285.7,395.5,,,291.1,308.4,,,353,571.5,,,-1.2000000000000002,-1.5500000000000003,,,-7.250000000000014,-72,,,-113,64.29999999999998,,,1588098790579,5.0
1588096687440,4,"{'10-20': 7.4, '0-10': 5.4}","{'10-20': 454.8, '0-10': 302.8}","{'10-20': 382.2, '0-10': 240.39999999999998}","{'10-20': -1.1, '0-10': -1.5999999999999996}","{'10-20': 68.10000000000002, '0-10': -72.35000000000001}","{'10-20': 232.5, '0-10': 403.90000000000003}","{'10-20': -106.99999999999997, '0-10': 43.300000000000026}",DUO_CARRY,BOTTOM,Kog'Maw,Flex,1,5.4,7.4,,,302.8,454.8,,,240.39999999999998,382.2,,,403.90000000000003,232.5,,,-1.5999999999999996,-1.1,,,-72.35000000000001,68.10000000000002,,,43.300000000000026,-106.99999999999997,,,1588096687440,5.0
1588094070882,9,"{'10-20': 5, '0-10': 6.7}","{'10-20': 397.1, '0-10': 304.7}","{'10-20': 382.4, '0-10': 261.7}","{'10-20': -0.9999999999999998, '0-10': 0.3500000000000001}","{'10-20': -15.75, '0-10': 13.950000000000003}","{'10-20': 786.7, '0-10': 251.8}","{'10-20': -28.099999999999994, '0-10': -90.44999999999997}",DUO_CARRY,BOTTOM,Kog'Maw,Flex,1,6.7,5,,,304.7,397.1,,,261.7,382.4,,,251.8,786.7,,,0.3500000000000001,-0.9999999999999998,,,13.950000000000003,-15.75,,,-90.44999999999997,-28.099999999999994,,,1588094070882,5.0
1587932091984,9,"{'10-20': 8.5, '0-10': 6.800000000000001, '20-30': 4.4}","{'10-20': 479.6, '0-10': 330.7, '20-30': 518.3}","{'10-20': 477.9, '0-10': 305.8, '20-30': 440.4}","{'10-20': 1.2, '0-10': 0.050000000000000266, '20-30': -1.5499999999999998}","{'10-20': 51.30000000000001, '0-10': 54.94999999999999, '20-30': -17.650000000000006}","{'10-20': 704.5999999999999, '0-10': 200.7, '20-30': 1019.6999999999999}","{'10-20': -175.25, '0-10': -39.35000000000001, '20-30': 177.79999999999998}",DUO_CARRY,BOTTOM,Kog'Maw,Flex,1,6.800000000000001,8.5,4.4,,330.7,479.6,518.3,,305.8,477.9,440.4,,200.7,704.5999999999999,1019.6999999999999,,0.050000000000000266,1.2,-1.5499999999999998,,54.94999999999999,51.30000000000001,-17.650000000000006,,-39.35000000000001,-175.25,177.79999999999998,,1587932091984,4.0
