,participantId,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas,damageTakenPerMinDeltas,damageTakenDiffPerMinDeltas,role,lane,championId,queueId,counter,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,creepsPerMinDeltas@20-30,creepsPerMinDeltas@30-end,xpPerMinDeltas@0-10,xpPerMinDeltas@10-20,xpPerMinDeltas@20-30,xpPerMinDeltas@30-end,goldPerMinDeltas@0-10,goldPerMinDeltas@10-20,goldPerMinDeltas@20-30,goldPerMinDeltas@30-end,damageTakenPerMinDeltas@0-10,damageTakenPerMinDeltas@10-20,damageTakenPerMinDeltas@20-30,damageTakenPerMinDeltas@30-end,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,csDiffPerMinDeltas@20-30,csDiffPerMinDeltas@30-end,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@20-30,xpDiffPerMinDeltas@30-end,damageTakenDiffPerMinDeltas@0-10,damageTakenDiffPerMinDeltas@10-20,damageTakenDiffPerMinDeltas@20-30,damageTakenDiffPerMinDeltas@30-end,gameCreation,week
1588529772548,5,"{'10-20': 0.2, '0-10': 0.7, '30-end': 0, '20-30': 0.9}","{'10-20': 316.2, '0-10': 218.7, '30-end': 484.2, '20-30': 509}","{'10-20': 316.29999999999995, '0-10': 208.7, '30-end': 208, '20-30': 303.4}","{'10-20': -0.6999999999999997, '0-10': -1.2, '30-end': 0.30000000000000027, '20-30': 1.4}","{'10-20': 5.950000000000017, '0-10': -71.74999999999997, '30-end': -266.1, '20-30': 268.29999999999995}","{'10-20': 296.79999999999995, '0-10': 446.6, '30-end': 842.6, '20-30': 505.70000000000005}","{'10-20': -200.74999999999997, '0-10': 53.400000000000006, '30-end': -124.99999999999977, '20-30': -159.5499999999999}",DUO_SUPPORT,BOTTOM,Karma,Flex,1,0.7,0.2,0.9,0,218.7,316.2,509,484.2,208.7,316.29999999999995,303.4,208,446.6,296.79999999999995,505.70000000000005,842.6,-1.2,-0.6999999999999997,1.4,0.30000000000000027,-71.74999999999997,5.950000000000017,268.29999999999995,-266.1,53.400000000000006,-200.74999999999997,-159.5499999999999,-124.99999999999977,1588529772548,5.0
1588523340439,10,"{'10-20': 1.1, '0-10': 1.1, '30-end': 0.6, '20-30': 0.5}","{'10-20': 329.2, '0-10': 233.8, '30-end': 404.4, '20-30': 484.7}","{'10-20': 296.9, '0-10': 205.10000000000002, '30-end': 168, '20-30': 293.8}","{'10-20': -0.24999999999999978, '0-10': -0.34999999999999987, '30-end': 0.2999999999999998, '20-30': -1.5499999999999998}","{'10-20': -13.399999999999977, '0-10': -36.04999999999998, '30-end': -198.80000000000007, '20-30': -140.25}","{'10-20': 606.4000000000001, '0-10': 286.70000000000005, '30-end': 574.2, '20-30': 721.9000000000001}","{'10-20': 229.10000000000005, '0-10': 34.30000000000001, '30-end': 161.89999999999998, '20-30': -142.99999999999994}",DUO_SUPPORT,BOTTOM,Thresh,Flex,1,1.1,1.1,0.5,0.6,233.8,329.2,484.7,404.4,205.10000000000002,296.9,293.8,168,286.70000000000005,606.4000000000001,721.9000000000001,574.2,-0.34999999999999987,-0.24999999999999978,-1.5499999999999998,0.2999999999999998,-36.04999999999998,-13.399999999999977,-140.25,-198.80000000000007,34.30000000000001,229.10000000000005,-142.99999999999994,161.89999999999998,1588523340439,5.0
1588458639976,10,"{'10-20': 0.9, '0-10': 0.6000000000000001, '30-end': 1.4, '20-30': 2}","{'10-20': 338, '0-10': 248.5, '30-end': 338.29999999999995, '20-30': 377.7}","{'10-20': 323.29999999999995, '0-10': 155.1, '30-end': 191.8, '20-30': 246.20000000000002}","{'10-20': 0.44999999999999996, '0-10': 0.4000000000000006, '30-end': -0.95, '20-30': 1.0500000000000003}","{'10-20': 53.55000000000001, '0-10': -13.300000000000011, '30-end': -51.10000000000002, '20-30': 124.64999999999998}","{'10-20': 215.6, '0-10': 319.8, '30-end': 602.3, '20-30': 355.6}","{'10-20': -64.15000000000002, '0-10': 46.349999999999994, '30-end': 237.79999999999995, '20-30': 124.89999999999998}",DUO_SUPPORT,BOTTOM,Ziggs,Flex,1,0.6000000000000001,0.9,2,1.4,248.5,338,377.7,338.29999999999995,155.1,323.29999999999995,246.20000000000002,191.8,319.8,215.6,355.6,602.3,0.4000000000000006,0.44999999999999996,1.0500000000000003,-0.95,-13.300000000000011,53.55000000000001,124.64999999999998,-51.10000000000002,46.349999999999994,-64.15000000000002,124.89999999999998,237.79999999999995,1588458639976,5.0
1588456229039,5,"{'10-20': 1.5, '0-10': 1.3}","{'10-20': 429.79999999999995, '0-10': 234.60000000000002}","{'10-20': 413.5, '0-10': 204.60000000000002}",,,"{'10-20': 502.7, '0-10': 370.3}",,DUO_SUPPORT,BOTTOM,Tahm Kench,Flex,1,1.3,1.5,,,234.60000000000002,429.79999999999995,,,204.60000000000002,413.5,,,370.3,502.7,,,,,,,,,,,,,,,1588456229039,5.0
1588454118215,10,"{'10-20': 0.8, '0-10': 0.7}","{'10-20': 363.8, '0-10': 302.9}","{'10-20': 449.79999999999995, '0-10': 286}","{'10-20': -0.050000000000000266, '0-10': -0.7999999999999998}","{'10-20': -44.849999999999994, '0-10': -40.300000000000026}","{'10-20': 335.59999999999997, '0-10': 364.9}","{'10-20': -605.7, '0-10': -185.45}",DUO_SUPPORT,BOTTOM,Ziggs,Flex,1,0.7,0.8,,,302.9,363.8,,,286,449.79999999999995,,,364.9,335.59999999999997,,,-0.7999999999999998,-0.050000000000000266,,,-40.300000000000026,-44.849999999999994,,,-185.45,-605.7,,,1588454118215,5.0
1588103382295,3,"{'10-20': 1.2, '0-10': 0.4, '30-end': 1.8, '20-30': 1.4}","{'10-20': 385.6, '0-10': 290.1, '30-end': 464, '20-30': 501.9}","{'10-20': 447.3, '0-10': 193.8, '30-end': 358.8, '20-30': 384.70000000000005}","{'10-20': -1.65, '0-10': -1.1000000000000003, '30-end': -3.2000000000000006, '20-30': -1.9000000000000001}","{'10-20': -25.35000000000001, '0-10': -21.200000000000003, '30-end': -47.499999999999886, '20-30': 24.40000000000009}","{'10-20': 456.6, '0-10': 224.2, '30-end': 275.2, '20-30': 1015.1999999999999}","{'10-20': 26.800000000000068, '0-10': -37, '30-end': -158, '20-30': 292.8999999999999}",DUO_SUPPORT,BOTTOM,Senna,Flex,1,0.4,1.2,1.4,1.8,290.1,385.6,501.9,464,193.8,447.3,384.70000000000005,358.8,224.2,456.6,1015.1999999999999,275.2,-1.1000000000000003,-1.65,-1.9000000000000001,-3.2000000000000006,-21.200000000000003,-25.35000000000001,24.40000000000009,-47.499999999999886,-37,26.800000000000068,292.8999999999999,-158,1588103382295,5.0
1588098790579,3,"{'10-20': 1, '0-10': 0.5}","{'10-20': 262.9, '0-10': 235}","{'10-20': 188.8, '0-10': 209.89999999999998}","{'10-20': -1.5500000000000003, '0-10': -1.2000000000000002}","{'10-20': -72, '0-10': -7.250000000000014}","{'10-20': 372.4, '0-10': 153}","{'10-20': 64.29999999999998, '0-10': -113}",DUO_SUPPORT,BOTTOM,Lulu,Flex,1,0.5,1,,,235,262.9,,,209.89999999999998,188.8,,,153,372.4,,,-1.2000000000000002,-1.5500000000000003,,,-7.250000000000014,-72,,,-113,64.29999999999998,,,1588098790579,5.0
1588096687440,3,"{'10-20': 0.4, '0-10': 0}","{'10-20': 350.6, '0-10': 221.2}","{'10-20': 224.89999999999998, '0-10': 210.8}","{'10-20': -1.1, '0-10': -1.5999999999999996}","{'10-20': 68.10000000000002, '0-10': -72.35000000000001}","{'10-20': 141.8, '0-10': 250.39999999999998}","{'10-20': -106.99999999999997, '0-10': 43.300000000000026}",DUO_SUPPORT,BOTTOM,Lulu,Flex,1,0,0.4,,,221.2,350.6,,,210.8,224.89999999999998,,,250.39999999999998,141.8,,,-1.5999999999999996,-1.1,,,-72.35000000000001,68.10000000000002,,,43.300000000000026,-106.99999999999997,,,1588096687440,5.0
1588094070882,8,"{'10-20': 0.2, '0-10': 0.30000000000000004}","{'10-20': 361.70000000000005, '0-10': 262.8}","{'10-20': 270.7, '0-10': 156.7}","{'10-20': -0.9999999999999998, '0-10': 0.3500000000000001}","{'10-20': -15.75, '0-10': 13.950000000000003}","{'10-20': 408.7, '0-10': 180.6}","{'10-20': -28.099999999999994, '0-10': -90.44999999999997}",DUO_SUPPORT,BOTTOM,Lulu,Flex,1,0.30000000000000004,0.2,,,262.8,361.70000000000005,,,156.7,270.7,,,180.6,408.7,,,0.3500000000000001,-0.9999999999999998,,,13.950000000000003,-15.75,,,-90.44999999999997,-28.099999999999994,,,1588094070882,5.0
1587932091984,8,"{'10-20': 0.1, '0-10': 0.2, '20-30': 0.2}","{'10-20': 448.29999999999995, '0-10': 286.3, '20-30': 482}","{'10-20': 293.7, '0-10': 234.10000000000002, '20-30': 281.20000000000005}","{'10-20': 1.2, '0-10': 0.050000000000000266, '20-30': -1.5499999999999998}","{'10-20': 51.30000000000001, '0-10': 54.94999999999999, '20-30': -17.650000000000006}","{'10-20': 447.1, '0-10': 218.1, '20-30': 582.2}","{'10-20': -175.25, '0-10': -39.35000000000001, '20-30': 177.79999999999998}",DUO_SUPPORT,BOTTOM,Lulu,Flex,1,0.2,0.1,0.2,,286.3,448.29999999999995,482,,234.10000000000002,293.7,281.20000000000005,,218.1,447.1,582.2,,0.050000000000000266,1.2,-1.5499999999999998,,54.94999999999999,51.30000000000001,-17.650000000000006,,-39.35000000000001,-175.25,177.79999999999998,,1587932091984,4.0
