,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,championId,queueId,week,counter,gameCreation
1587929948757,10,True,1054,3153,3047,3071,3105,0,3340,3,2,4,2,1,1,926,0,0,0,0,0,133738,520,97296,35921,0,16812,520,13444,2847,2330,1,16568,10238,6208,16,34,18843,5673,12764,406,10400,9125,3,1,168,0,0,0,233,15,1,0,8,0,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,815,0,0,9111,843,140,0,9104,21,0,0,8299,477,0,0,8444,1104,0,0,8453,385,500,0,8000,8400,5005,5008,5002,875,440,5.0,1,1587929948757
1587925337533,5,False,3108,3107,2065,3174,3009,1033,3340,0,7,17,0,0,0,558,0,0,0,0,0,77268,45517,16143,15607,0,11424,8764,1568,1091,22062,11,17965,5304,1938,37,49,25212,8027,15907,1277,10121,9510,1,0,117,0,0,0,282,16,6,0,18,7,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2000,0,0,8226,250,647,0,8210,20,0,0,8236,80,0,0,8139,1162,0,0,8105,17,5,0,8200,8100,5008,5008,5002,40,440,5.0,1,1587925337533
1587921305303,5,True,3174,3107,3504,3009,1028,3114,3364,1,5,21,0,1,0,1086,0,0,0,0,0,66263,36825,18355,11082,0,17634,13594,2966,1072,21209,12,15135,5601,1756,26,53,19150,2599,15100,1450,9744,9250,0,0,118,0,0,0,231,17,2,0,11,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2089,0,0,8275,7,0,0,8210,20,0,0,8236,48,0,0,8139,1650,0,0,8105,17,5,0,8200,8100,5008,5008,5002,40,440,5.0,1,1587921305303
1587919477546,5,True,1054,3111,0,3071,0,0,3340,3,1,1,3,1,1,278,0,0,0,0,0,37927,0,33261,4666,0,5598,0,5063,534,869,1,6243,3074,2229,5,15,10159,1758,8391,10,6003,4825,0,0,94,4,0,0,85,11,3,0,7,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,216,0,0,9111,511,80,0,9104,0,0,0,8299,198,0,0,8444,636,0,0,8451,125,0,0,8000,8400,5005,5008,5002,875,440,5.0,1,1587919477546
1587751420490,5,False,2033,3076,3111,3068,3211,1006,3340,2,5,3,0,1,0,459,0,0,0,0,0,87587,50769,30403,6415,6,8744,5131,3613,0,729,1,16421,1258,1258,15,15,11002,3911,6561,528,8079,6850,1,0,133,6,0,2,520,13,2,0,8,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,572,521,50,8009,898,500,0,9105,22,20,0,8299,140,0,0,8345,3,0,0,8352,107,736,440,8000,8300,5005,5008,5002,54,440,4.0,1,1587751420490
1587749229020,10,False,2033,2421,3010,1057,3068,3047,3340,3,3,2,0,1,0,600,0,0,0,0,0,81685,51506,27174,3005,0,11578,7522,4055,0,1849,1,21479,6731,1916,18,22,13591,5766,7408,416,7217,7045,0,0,139,0,0,0,485,13,4,0,9,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,522,369,152,8009,969,500,0,9105,21,0,0,8299,384,0,0,8345,3,0,0,8352,220,1200,736,8000,8300,5005,5008,5002,54,440,4.0,1,1587749229020
1587325252435,5,False,2033,3153,3052,3111,3078,1037,3340,6,5,4,3,2,1,473,1,0,0,0,0,137419,27433,106811,3175,0,13845,3395,10449,0,3349,1,21077,2909,2909,19,22,21267,3562,16800,904,11661,11008,0,0,201,16,16,0,141,16,4,0,11,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,886,0,0,9111,779,200,0,9104,18,10,0,8299,606,0,0,8345,3,0,0,8352,238,1224,689,8000,8300,5008,5008,5002,24,440,4.0,1,1587325252435
1587321212861,10,False,3001,3047,3742,3068,3076,3082,3340,2,3,11,0,1,0,929,0,0,0,0,0,212205,150034,54842,7330,74,16170,11566,4604,0,3784,1,48572,4905,3752,19,28,20436,12272,7491,672,13410,12975,1,0,242,12,9,0,1036,17,3,0,12,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1151,537,613,8009,2165,500,0,9105,18,40,0,8299,330,0,0,8345,3,0,0,8352,203,970,644,8000,8300,5008,5008,5002,54,440,4.0,1,1587321212861
1587155795828,5,False,3193,3111,3075,3068,3067,1029,3340,4,4,14,3,1,1,940,0,0,0,0,0,139803,39715,93922,6165,56,24144,7382,16209,553,6845,1,59483,4639,3244,39,57,33389,9357,22626,1405,11453,11150,0,0,184,10,9,0,739,16,4,0,15,3,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1322,1267,0,8446,1804,0,0,8444,2187,0,0,8451,223,0,0,8345,3,0,0,8352,300,1476,910,8400,8300,5008,5008,5002,78,440,3.0,1,1587155795828
1587148864781,10,True,3157,3143,0,3047,3068,3001,3340,8,6,11,3,2,2,698,1,0,0,0,0,208456,139653,57312,11490,0,30039,19005,10376,657,5777,1,74550,2714,274,46,46,31109,12298,18087,724,15736,13450,0,0,237,12,8,0,1185,18,5,0,18,9,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1834,1456,377,8009,3975,500,0,9105,16,0,0,8014,669,0,0,8316,5800,0,0,8352,254,1187,810,8000,8300,5008,5008,5002,54,440,3.0,1,1587148864781
