,participantId,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas,damageTakenPerMinDeltas,damageTakenDiffPerMinDeltas,role,lane,championId,queueId,counter,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,creepsPerMinDeltas@20-30,creepsPerMinDeltas@30-end,xpPerMinDeltas@0-10,xpPerMinDeltas@10-20,xpPerMinDeltas@20-30,xpPerMinDeltas@30-end,goldPerMinDeltas@0-10,goldPerMinDeltas@10-20,goldPerMinDeltas@20-30,goldPerMinDeltas@30-end,damageTakenPerMinDeltas@0-10,damageTakenPerMinDeltas@10-20,damageTakenPerMinDeltas@20-30,damageTakenPerMinDeltas@30-end,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,csDiffPerMinDeltas@20-30,csDiffPerMinDeltas@30-end,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@20-30,xpDiffPerMinDeltas@30-end,damageTakenDiffPerMinDeltas@0-10,damageTakenDiffPerMinDeltas@10-20,damageTakenDiffPerMinDeltas@20-30,damageTakenDiffPerMinDeltas@30-end,gameCreation,week
1588529772548,1,"{'10-20': 5.6, '0-10': 7, '30-end': 6.8, '20-30': 2.5999999999999996}","{'10-20': 369.5, '0-10': 447.7, '30-end': 538.6, '20-30': 450}","{'10-20': 310.79999999999995, '0-10': 300.8, '30-end': 601.2, '20-30': 365.5}","{'10-20': -0.10000000000000009, '0-10': 2.1000000000000005, '30-end': 3.5999999999999996, '20-30': -1.2}","{'10-20': -134.4, '0-10': 36.89999999999998, '30-end': 20, '20-30': -16.900000000000006}","{'10-20': 782, '0-10': 367.5, '30-end': 1019.2, '20-30': 905.9000000000001}","{'10-20': 45.599999999999966, '0-10': -170.5, '30-end': -348.79999999999995, '20-30': -96.2999999999999}",SOLO,MIDDLE,Syndra,Flex,1,7,5.6,2.5999999999999996,6.8,447.7,369.5,450,538.6,300.8,310.79999999999995,365.5,601.2,367.5,782,905.9000000000001,1019.2,2.1000000000000005,-0.10000000000000009,-1.2,3.5999999999999996,36.89999999999998,-134.4,-16.900000000000006,20,-170.5,45.599999999999966,-96.2999999999999,-348.79999999999995,1588529772548,5.0
1588523340439,6,"{'10-20': 8.100000000000001, '0-10': 6.6, '30-end': 5.2, '20-30': 6.4}","{'10-20': 541.9, '0-10': 489, '30-end': 466.4, '20-30': 604}","{'10-20': 373.9, '0-10': 313, '30-end': 372.4, '20-30': 545.7}","{'10-20': 1.1000000000000005, '0-10': -0.49999999999999956, '30-end': -2.8, '20-30': 1.8000000000000005}","{'10-20': 54.400000000000006, '0-10': 95.00000000000003, '30-end': -208.39999999999998, '20-30': 44}","{'10-20': 867, '0-10': 418.7, '30-end': 769, '20-30': 1126.6999999999998}","{'10-20': 228.59999999999997, '0-10': -53.39999999999998, '30-end': 141.20000000000005, '20-30': 108.7999999999999}",SOLO,MIDDLE,Diana,Flex,1,6.6,8.100000000000001,6.4,5.2,489,541.9,604,466.4,313,373.9,545.7,372.4,418.7,867,1126.6999999999998,769,-0.49999999999999956,1.1000000000000005,1.8000000000000005,-2.8,95.00000000000003,54.400000000000006,44,-208.39999999999998,-53.39999999999998,228.59999999999997,108.7999999999999,141.20000000000005,1588523340439,5.0
1588458639976,6,"{'10-20': 7.1, '0-10': 7.4, '30-end': 6.5, '20-30': 6.4}","{'10-20': 561.6, '0-10': 447.8, '30-end': 508, '20-30': 530}","{'10-20': 452, '0-10': 328.4, '30-end': 435.79999999999995, '20-30': 545.7}","{'10-20': -3.2, '0-10': 1, '30-end': -1.7999999999999998, '20-30': -0.8999999999999999}","{'10-20': -68.29999999999998, '0-10': -7.5, '30-end': -178, '20-30': 142.5}","{'10-20': 847.1, '0-10': 351.7, '30-end': 836.5, '20-30': 766.5}","{'10-20': 530.7, '0-10': -61.20000000000002, '30-end': 365.5, '20-30': 163.4}",SOLO,MIDDLE,Tristana,Flex,1,7.4,7.1,6.4,6.5,447.8,561.6,530,508,328.4,452,545.7,435.79999999999995,351.7,847.1,766.5,836.5,1,-3.2,-0.8999999999999999,-1.7999999999999998,-7.5,-68.29999999999998,142.5,-178,-61.20000000000002,530.7,163.4,365.5,1588458639976,5.0
1588456229039,1,"{'10-20': 8, '0-10': 6.5}","{'10-20': 607.7, '0-10': 430.20000000000005}","{'10-20': 533.0999999999999, '0-10': 281.6}",,,"{'10-20': 443.5, '0-10': 150.39999999999998}",,SOLO,MIDDLE,Syndra,Flex,1,6.5,8,,,430.20000000000005,607.7,,,281.6,533.0999999999999,,,150.39999999999998,443.5,,,,,,,,,,,,,,,1588456229039,5.0
1588454118215,6,"{'10-20': 3.8, '0-10': 7.2}","{'10-20': 409.70000000000005, '0-10': 513.6}","{'10-20': 532.5, '0-10': 388.5}","{'10-20': -0.9000000000000004, '0-10': 2.9000000000000004}","{'10-20': 98.30000000000001, '0-10': 72.4}","{'10-20': 823.4, '0-10': 427.6}","{'10-20': 207.8, '0-10': 30.900000000000006}",SOLO,MIDDLE,Syndra,Flex,1,7.2,3.8,,,513.6,409.70000000000005,,,388.5,532.5,,,427.6,823.4,,,2.9000000000000004,-0.9000000000000004,,,72.4,98.30000000000001,,,30.900000000000006,207.8,,,1588454118215,5.0
1588103382295,2,"{'10-20': 7, '0-10': 8.3, '30-end': 6, '20-30': 4.4}","{'10-20': 429.1, '0-10': 486.1, '30-end': 910.2, '20-30': 530}","{'10-20': 496.6, '0-10': 320.1, '30-end': 622, '20-30': 538.6}","{'10-20': -0.399999999999999, '0-10': 1.4000000000000004, '30-end': 1.2000000000000002, '20-30': 0.8}","{'10-20': -162.1, '0-10': 41.599999999999966, '30-end': 462.6, '20-30': -1.799999999999983}","{'10-20': 877.8, '0-10': 187.9, '30-end': 472.4, '20-30': 908.5}","{'10-20': -146.7, '0-10': -84.29999999999998, '30-end': -886.0000000000001, '20-30': -1742.3999999999999}",SOLO,MIDDLE,Tristana,Flex,1,8.3,7,4.4,6,486.1,429.1,530,910.2,320.1,496.6,538.6,622,187.9,877.8,908.5,472.4,1.4000000000000004,-0.399999999999999,0.8,1.2000000000000002,41.599999999999966,-162.1,-1.799999999999983,462.6,-84.29999999999998,-146.7,-1742.3999999999999,-886.0000000000001,1588103382295,5.0
1588098790579,2,"{'10-20': 6.4, '0-10': 6.1}","{'10-20': 384.20000000000005, '0-10': 422.1}","{'10-20': 294.6, '0-10': 225}","{'10-20': -0.9999999999999996, '0-10': -1.3999999999999995}","{'10-20': -232.89999999999995, '0-10': -17.5}","{'10-20': 1172.6, '0-10': 327}","{'10-20': 284.8, '0-10': 65.8}",SOLO,MIDDLE,Diana,Flex,1,6.1,6.4,,,422.1,384.20000000000005,,,225,294.6,,,327,1172.6,,,-1.3999999999999995,-0.9999999999999996,,,-17.5,-232.89999999999995,,,65.8,284.8,,,1588098790579,5.0
1588096687440,2,"{'10-20': 7.8999999999999995, '0-10': 8.4}","{'10-20': 614.7, '0-10': 443.5}","{'10-20': 759.6, '0-10': 327.4}",,,"{'10-20': 865.1, '0-10': 432.3}",,DUO,MIDDLE,Diana,Flex,1,8.4,7.8999999999999995,,,443.5,614.7,,,327.4,759.6,,,432.3,865.1,,,,,,,,,,,,,,,1588096687440,5.0
1588094070882,7,"{'10-20': 5.6, '0-10': 6.699999999999999}","{'10-20': 545, '0-10': 502.5}","{'10-20': 626.4, '0-10': 342.9}","{'10-20': 0.2999999999999996, '0-10': 0.2999999999999998}","{'10-20': 185.59999999999997, '0-10': 100.69999999999999}","{'10-20': 672.9, '0-10': 311.7}","{'10-20': -48.69999999999999, '0-10': -81.90000000000002}",SOLO,MIDDLE,Syndra,Flex,1,6.699999999999999,5.6,,,502.5,545,,,342.9,626.4,,,311.7,672.9,,,0.2999999999999998,0.2999999999999996,,,100.69999999999999,185.59999999999997,,,-81.90000000000002,-48.69999999999999,,,1588094070882,5.0
1587932091984,7,"{'10-20': 6.5, '0-10': 6.8, '20-30': 4.3}","{'10-20': 543.3, '0-10': 431.70000000000005, '20-30': 585.8}","{'10-20': 552.7, '0-10': 292.2, '20-30': 471.2}","{'10-20': 0.7999999999999998, '0-10': 1.1999999999999997, '20-30': 1.4999999999999998}","{'10-20': 66.09999999999994, '0-10': 33.900000000000034, '20-30': 196.6}","{'10-20': 730.1, '0-10': 189.9, '20-30': 803.8}","{'10-20': 164.50000000000006, '0-10': -60.8, '20-30': 314.70000000000005}",SOLO,MIDDLE,Veigar,Flex,1,6.8,6.5,4.3,,431.70000000000005,543.3,585.8,,292.2,552.7,471.2,,189.9,730.1,803.8,,1.1999999999999997,0.7999999999999998,1.4999999999999998,,33.900000000000034,66.09999999999994,196.6,,-60.8,164.50000000000006,314.70000000000005,,1587932091984,4.0
