,participantId,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas,damageTakenPerMinDeltas,damageTakenDiffPerMinDeltas,role,lane,championId,queueId,counter,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,creepsPerMinDeltas@20-30,creepsPerMinDeltas@30-end,xpPerMinDeltas@0-10,xpPerMinDeltas@10-20,xpPerMinDeltas@20-30,xpPerMinDeltas@30-end,goldPerMinDeltas@0-10,goldPerMinDeltas@10-20,goldPerMinDeltas@20-30,goldPerMinDeltas@30-end,damageTakenPerMinDeltas@0-10,damageTakenPerMinDeltas@10-20,damageTakenPerMinDeltas@20-30,damageTakenPerMinDeltas@30-end,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,csDiffPerMinDeltas@20-30,csDiffPerMinDeltas@30-end,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@20-30,xpDiffPerMinDeltas@30-end,damageTakenDiffPerMinDeltas@0-10,damageTakenDiffPerMinDeltas@10-20,damageTakenDiffPerMinDeltas@20-30,damageTakenDiffPerMinDeltas@30-end,gameCreation,week
1588458639976,8,"{'10-20': 2.1, '0-10': 0.2, '30-end': 1.1, '20-30': 1.3}","{'10-20': 497.2, '0-10': 305.70000000000005, '30-end': 458.4, '20-30': 540.6}","{'10-20': 370.20000000000005, '0-10': 283, '30-end': 292.79999999999995, '20-30': 367.8}","{'10-20': 0.6000000000000001, '0-10': -1, '30-end': 0.6, '20-30': 0.29999999999999993}","{'10-20': 32.89999999999998, '0-10': -64.79999999999998, '30-end': -120, '20-30': 92.60000000000005}","{'10-20': 1289.9, '0-10': 853, '30-end': 2311.8, '20-30': 1011.6}","{'10-20': 126.29999999999995, '0-10': 275.4, '30-end': 796.3, '20-30': 62.69999999999999}",NONE,JUNGLE,Zac,Flex,1,0.2,2.1,1.3,1.1,305.70000000000005,497.2,540.6,458.4,283,370.20000000000005,367.8,292.79999999999995,853,1289.9,1011.6,2311.8,-1,0.6000000000000001,0.29999999999999993,0.6,-64.79999999999998,32.89999999999998,92.60000000000005,-120,275.4,126.29999999999995,62.69999999999999,796.3,1588458639976,5.0
1588456229039,3,"{'10-20': 1.2, '0-10': 0.2}","{'10-20': 431.1, '0-10': 268.5}","{'10-20': 438.6, '0-10': 284}","{'10-20': 0.8, '0-10': -0.5}","{'10-20': 66.20000000000002, '0-10': -95.60000000000004}","{'10-20': 568.3, '0-10': 447.1}","{'10-20': -67.80000000000001, '0-10': 112.49999999999999}",NONE,JUNGLE,Elise,Flex,1,0.2,1.2,,,268.5,431.1,,,284,438.6,,,447.1,568.3,,,-0.5,0.8,,,-95.60000000000004,66.20000000000002,,,112.49999999999999,-67.80000000000001,,,1588456229039,5.0
1588454118215,8,"{'10-20': 1.3, '0-10': 0.3}","{'10-20': 409.5, '0-10': 361.1}","{'10-20': 331.6, '0-10': 277.3}","{'10-20': -0.9000000000000001, '0-10': -0.3}","{'10-20': 135.7, '0-10': 28.600000000000023}","{'10-20': 1240, '0-10': 722.3}","{'10-20': 77.10000000000002, '0-10': 94.20000000000005}",NONE,JUNGLE,Sejuani,Flex,1,0.3,1.3,,,361.1,409.5,,,277.3,331.6,,,722.3,1240,,,-0.3,-0.9000000000000001,,,28.600000000000023,135.7,,,94.20000000000005,77.10000000000002,,,1588454118215,5.0
1588103382295,1,"{'10-20': 2.8, '0-10': 0.3, '30-end': 3, '20-30': 1.1}","{'10-20': 565.2, '0-10': 349, '30-end': 591.8, '20-30': 705.5}","{'10-20': 436.1, '0-10': 292.3, '30-end': 444.8, '20-30': 663.4000000000001}","{'10-20': 1.7000000000000002, '0-10': -0.2, '30-end': 1, '20-30': -3.5}","{'10-20': 205.4, '0-10': 58.69999999999999, '30-end': 293.19999999999993, '20-30': 12.5}","{'10-20': 917.4000000000001, '0-10': 519.5, '30-end': 270.2, '20-30': 1418.4}","{'10-20': 37.80000000000007, '0-10': -48.099999999999994, '30-end': -684.5999999999999, '20-30': 107.10000000000002}",NONE,JUNGLE,Karthus,Flex,1,0.3,2.8,1.1,3,349,565.2,705.5,591.8,292.3,436.1,663.4000000000001,444.8,519.5,917.4000000000001,1418.4,270.2,-0.2,1.7000000000000002,-3.5,1,58.69999999999999,205.4,12.5,293.19999999999993,-48.099999999999994,37.80000000000007,107.10000000000002,-684.5999999999999,1588103382295,5.0
1588098790579,1,"{'10-20': 1.6, '0-10': 0.30000000000000004}","{'10-20': 437.1, '0-10': 272.7}","{'10-20': 298.5, '0-10': 232.39999999999998}","{'10-20': -0.6, '0-10': 0.2}","{'10-20': -220.4, '0-10': -41.39999999999999}","{'10-20': 892.3, '0-10': 743.9}","{'10-20': 192.00000000000006, '0-10': 286.2}",NONE,JUNGLE,Nocturne,Flex,1,0.30000000000000004,1.6,,,272.7,437.1,,,232.39999999999998,298.5,,,743.9,892.3,,,0.2,-0.6,,,-41.39999999999999,-220.4,,,286.2,192.00000000000006,,,1588098790579,5.0
1588096687440,1,"{'10-20': 0.5, '0-10': 0.3}","{'10-20': 363.9, '0-10': 334.9}","{'10-20': 317.70000000000005, '0-10': 266.7}","{'10-20': 0.09999999999999998, '0-10': 0.09999999999999998}","{'10-20': 38.599999999999994, '0-10': -5.1000000000000085}","{'10-20': 745.1, '0-10': 628.9}","{'10-20': -276.2, '0-10': 17.299999999999983}",NONE,JUNGLE,Jarvan IV,Flex,1,0.3,0.5,,,334.9,363.9,,,266.7,317.70000000000005,,,628.9,745.1,,,0.09999999999999998,0.09999999999999998,,,-5.1000000000000085,38.599999999999994,,,17.299999999999983,-276.2,,,1588096687440,5.0
1588094070882,6,"{'10-20': 1.5, '0-10': 0.7}","{'10-20': 556.2, '0-10': 307.5}","{'10-20': 449.6, '0-10': 291.5}","{'10-20': 0.8999999999999999, '0-10': 0.5}","{'10-20': 137.8, '0-10': 6.999999999999986}","{'10-20': 795.3, '0-10': 344.4}","{'10-20': -383.09999999999997, '0-10': -480.19999999999993}",NONE,JUNGLE,Jarvan IV,Flex,1,0.7,1.5,,,307.5,556.2,,,291.5,449.6,,,344.4,795.3,,,0.5,0.8999999999999999,,,6.999999999999986,137.8,,,-480.19999999999993,-383.09999999999997,,,1588094070882,5.0
1587932091984,6,"{'10-20': 3, '0-10': 0.4, '20-30': 1.1}","{'10-20': 564.7, '0-10': 378.4, '20-30': 613.2}","{'10-20': 622.1, '0-10': 342.9, '20-30': 428.6}","{'10-20': 0.09999999999999987, '0-10': -0.5000000000000001, '20-30': -0.6000000000000001}","{'10-20': 99.59999999999997, '0-10': -23.70000000000003, '20-30': 194.4}","{'10-20': 981.7, '0-10': 874.3000000000001, '20-30': 823.0999999999999}","{'10-20': 95.29999999999995, '0-10': 121.50000000000006, '20-30': -430.1000000000001}",NONE,JUNGLE,Nocturne,Flex,1,0.4,3,1.1,,378.4,564.7,613.2,,342.9,622.1,428.6,,874.3000000000001,981.7,823.0999999999999,,-0.5000000000000001,0.09999999999999987,-0.6000000000000001,,-23.70000000000003,99.59999999999997,194.4,,121.50000000000006,95.29999999999995,-430.1000000000001,,1587932091984,4.0
1587929948757,6,"{'10-20': 1.9, '0-10': 0.4}","{'10-20': 508.3, '0-10': 371.9}","{'10-20': 457.1, '0-10': 289.8}","{'10-20': 1.5, '0-10': 0.30000000000000004}","{'10-20': 114.60000000000002, '0-10': 135.5}","{'10-20': 867.9, '0-10': 659.6}","{'10-20': -240, '0-10': 115.89999999999998}",NONE,JUNGLE,Nocturne,Flex,1,0.4,1.9,,,371.9,508.3,,,289.8,457.1,,,659.6,867.9,,,0.30000000000000004,1.5,,,135.5,114.60000000000002,,,115.89999999999998,-240,,,1587929948757,4.0
1587925337533,1,"{'10-20': 1.7, '0-10': 0.8, '30-end': 1.3, '20-30': 1.7}","{'10-20': 554.5, '0-10': 332.9, '30-end': 321.6, '20-30': 565.2}","{'10-20': 574.2, '0-10': 373.20000000000005, '30-end': 230.39999999999998, '20-30': 395.70000000000005}","{'10-20': 0.5999999999999999, '0-10': 0.20000000000000007, '30-end': -1.1999999999999997, '20-30': 0.5999999999999999}","{'10-20': 81.89999999999998, '0-10': 28.00000000000003, '30-end': -175.49999999999994, '20-30': 96.49999999999997}","{'10-20': 1101.6, '0-10': 547.4000000000001, '30-end': 1279.9, '20-30': 1299.6}","{'10-20': 79.80000000000007, '0-10': -159.79999999999995, '30-end': -18.300000000000068, '20-30': 111.60000000000008}",NONE,JUNGLE,Ekko,Flex,1,0.8,1.7,1.7,1.3,332.9,554.5,565.2,321.6,373.20000000000005,574.2,395.70000000000005,230.39999999999998,547.4000000000001,1101.6,1299.6,1279.9,0.20000000000000007,0.5999999999999999,0.5999999999999999,-1.1999999999999997,28.00000000000003,81.89999999999998,96.49999999999997,-175.49999999999994,-159.79999999999995,79.80000000000007,111.60000000000008,-18.300000000000068,1587925337533,4.0
