,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,bans,queueId,counter,gameCreation,week
1588096687440,Blue,1,0,1,0,1,1,1,4,0,1,4,0,1,0,"[{'championId': 154, 'pickTurn': 1}, {'championId': 102, 'pickTurn': 2}, {'championId': 157, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 350, 'pickTurn': 5}]",Flex,1,1588096687440,5.0
1588094070882,Red,1,0,1,1,1,1,1,9,2,1,4,0,1,0,"[{'championId': 154, 'pickTurn': 6}, {'championId': 102, 'pickTurn': 7}, {'championId': 157, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 9}, {'championId': 122, 'pickTurn': 10}]",Flex,1,1588094070882,5.0
1587932091984,Red,1,1,1,1,0,1,1,9,1,1,4,0,1,0,"[{'championId': 154, 'pickTurn': 6}, {'championId': 35, 'pickTurn': 7}, {'championId': 142, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 9}, {'championId': 122, 'pickTurn': 10}]",Flex,1,1587932091984,5.0
1587929948757,Red,1,1,1,1,1,1,1,9,2,1,2,0,1,0,"[{'championId': 154, 'pickTurn': 6}, {'championId': 35, 'pickTurn': 7}, {'championId': 142, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 9}, {'championId': 122, 'pickTurn': 10}]",Flex,1,1587929948757,5.0
1587925337533,Blue,0,1,0,0,1,0,0,4,0,1,2,0,0,0,"[{'championId': 154, 'pickTurn': 1}, {'championId': 35, 'pickTurn': 2}, {'championId': 9, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 122, 'pickTurn': 5}]",Flex,1,1587925337533,5.0
1587921305303,Blue,1,0,1,0,1,0,1,7,1,1,2,0,2,0,"[{'championId': 154, 'pickTurn': 1}, {'championId': 35, 'pickTurn': 2}, {'championId': 157, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 122, 'pickTurn': 5}]",Flex,1,1587921305303,5.0
1587919477546,Blue,1,1,1,0,0,1,1,3,0,0,1,0,1,0,"[{'championId': 154, 'pickTurn': 1}, {'championId': 35, 'pickTurn': 2}, {'championId': 9, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 350, 'pickTurn': 5}]",Flex,1,1587919477546,5.0
1587751420490,Blue,0,1,0,0,0,0,1,1,0,0,0,0,1,0,"[{'championId': 154, 'pickTurn': 1}, {'championId': 35, 'pickTurn': 2}, {'championId': 17, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 8, 'pickTurn': 5}]",Flex,1,1587751420490,4.0
1587749229020,Red,0,1,0,0,0,0,0,1,0,0,1,0,0,0,"[{'championId': 154, 'pickTurn': 6}, {'championId': 35, 'pickTurn': 7}, {'championId': 62, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 9}, {'championId': 8, 'pickTurn': 10}]",Flex,1,1587749229020,4.0
1587325252435,Blue,0,1,0,0,0,0,1,1,0,0,0,0,1,0,"[{'championId': 154, 'pickTurn': 1}, {'championId': 8, 'pickTurn': 2}, {'championId': 90, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 58, 'pickTurn': 5}]",Flex,1,1587325252435,4.0
1587321212861,Red,0,1,0,0,0,0,0,3,0,0,2,0,1,0,"[{'championId': 154, 'pickTurn': 6}, {'championId': 8, 'pickTurn': 7}, {'championId': 62, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 9}, {'championId': 350, 'pickTurn': 10}]",Flex,1,1587321212861,4.0
